support,itemsets,length
0.47946666666666665,frozenset({'בלון דו צדדי PDBS2'}),1
0.4554666666666667,frozenset({'בלון אמצעי T10SB'}),1
0.44853333333333334,"frozenset({'בלון אמצעי T10SB', 'בלון דו צדדי PDBS2'})",2
0.32853333333333334,frozenset({'טרוקר אקסל ללא סכין 11 B11LT'}),1
0.32426666666666665,frozenset({'3DMAX LARGE 10.8X16-RIGHT'}),1
0.32266666666666666,frozenset({'3DMAX LARGE 10.8X16-LEFT'}),1
0.31626666666666664,"frozenset({'3DMAX LARGE 10.8X16-LEFT', '3DMAX LARGE 10.8X16-RIGHT'})",2
0.31466666666666665,frozenset({'טרוקר ללא סכין 5 NB5STF'}),1
0.20906666666666668,frozenset({'טאקר-10 סיכות MICROVAL'}),1
0.17653333333333332,frozenset({'טאקר נספג-12 סיכות-ETHICON'}),1
0.17173333333333332,frozenset({'שרוול אקסל OPTI-5X100'}),1
0.17066666666666666,frozenset({'אנדו קליפ 5 EL5ML'}),1
0.16906666666666667,frozenset({'סקשן איריגיישיין 5'}),1
0.16746666666666668,frozenset({'מספריים לאפ'}),1
0.1616,"frozenset({'טרוקר ללא סכין 5 NB5STF', 'טרוקר אקסל ללא סכין 11 B11LT'})",2
0.1568,"frozenset({'טרוקר ללא סכין 5 NB5STF', 'בלון דו צדדי PDBS2'})",2
0.15253333333333333,"frozenset({'טרוקר ללא סכין 5 NB5STF', 'בלון אמצעי T10SB'})",2
0.15146666666666667,"frozenset({'טרוקר ללא סכין 5 NB5STF', 'בלון אמצעי T10SB', 'בלון דו צדדי PDBS2'})",3
0.13973333333333332,frozenset({'שרוול אקסל 10-11  CB11LT'}),1
0.1392,frozenset({'DYNAMESH ENDOLAP 3D 10*15CM'}),1
0.13333333333333333,"frozenset({'3DMAX LARGE 10.8X16-LEFT', 'טאקר נספג-12 סיכות-ETHICON'})",2
0.1328,frozenset({'LIQUIBAND FIX8 טאקר דבק'}),1
0.13173333333333334,frozenset({'טרוקר אקסל OPTI-סכין-5X100'}),1
0.1312,"frozenset({'טאקר נספג-12 סיכות-ETHICON', '3DMAX LARGE 10.8X16-RIGHT'})",2
0.1296,"frozenset({'3DMAX LARGE 10.8X16-LEFT', 'בלון דו צדדי PDBS2'})",2
0.12906666666666666,"frozenset({'3DMAX LARGE 10.8X16-RIGHT', 'בלון דו צדדי PDBS2'})",2
0.12906666666666666,"frozenset({'3DMAX LARGE 10.8X16-LEFT', 'טאקר נספג-12 סיכות-ETHICON', '3DMAX LARGE 10.8X16-RIGHT'})",3
0.12533333333333332,"frozenset({'3DMAX LARGE 10.8X16-RIGHT', '3DMAX LARGE 10.8X16-LEFT', 'בלון דו צדדי PDBS2'})",3
