itemset,frequency,surgeon_group
בלון דו צדדי PDBS2,205,Cheap
בלון דו צדדי PDBS2,694,Expensive
בלון אמצעי T10SB,173,Cheap
בלון אמצעי T10SB,681,Expensive
בלון אמצעי T10SB + בלון דו צדדי PDBS2,170,Cheap
בלון אמצעי T10SB + בלון דו צדדי PDBS2,671,Expensive
טרוקר אקסל ללא סכין 11 B11LT,538,Cheap
טרוקר אקסל ללא סכין 11 B11LT,78,Expensive
3DMAX LARGE 10.8X16-RIGHT,335,Cheap
3DMAX LARGE 10.8X16-RIGHT,273,Expensive
3DMAX LARGE 10.8X16-LEFT,331,Cheap
3DMAX LARGE 10.8X16-LEFT,274,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT,328,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT,265,Expensive
טרוקר ללא סכין 5 NB5STF,302,Cheap
טרוקר ללא סכין 5 NB5STF,288,Expensive
טאקר-10 סיכות MICROVAL,275,Cheap
טאקר-10 סיכות MICROVAL,117,Expensive
טאקר נספג-12 סיכות-ETHICON,104,Cheap
טאקר נספג-12 סיכות-ETHICON,227,Expensive
שרוול אקסל OPTI-5X100,199,Cheap
שרוול אקסל OPTI-5X100,123,Expensive
אנדו קליפ 5 EL5ML,158,Cheap
אנדו קליפ 5 EL5ML,162,Expensive
סקשן איריגיישיין 5,69,Cheap
סקשן איריגיישיין 5,248,Expensive
מספריים לאפ,157,Cheap
מספריים לאפ,157,Expensive
טרוקר אקסל ללא סכין 11 B11LT + טרוקר ללא סכין 5 NB5STF,277,Cheap
טרוקר אקסל ללא סכין 11 B11LT + טרוקר ללא סכין 5 NB5STF,26,Expensive
בלון דו צדדי PDBS2 + טרוקר ללא סכין 5 NB5STF,17,Cheap
בלון דו צדדי PDBS2 + טרוקר ללא סכין 5 NB5STF,277,Expensive
בלון אמצעי T10SB + טרוקר ללא סכין 5 NB5STF,17,Cheap
בלון אמצעי T10SB + טרוקר ללא סכין 5 NB5STF,269,Expensive
בלון אמצעי T10SB + בלון דו צדדי PDBS2 + טרוקר ללא סכין 5 NB5STF,17,Cheap
בלון אמצעי T10SB + בלון דו צדדי PDBS2 + טרוקר ללא סכין 5 NB5STF,267,Expensive
שרוול אקסל 10-11  CB11LT,231,Cheap
שרוול אקסל 10-11  CB11LT,31,Expensive
DYNAMESH ENDOLAP 3D 10*15CM,130,Cheap
DYNAMESH ENDOLAP 3D 10*15CM,131,Expensive
3DMAX LARGE 10.8X16-LEFT + טאקר נספג-12 סיכות-ETHICON,93,Cheap
3DMAX LARGE 10.8X16-LEFT + טאקר נספג-12 סיכות-ETHICON,157,Expensive
LIQUIBAND FIX8 טאקר דבק,111,Cheap
LIQUIBAND FIX8 טאקר דבק,138,Expensive
טרוקר אקסל OPTI-סכין-5X100,113,Cheap
טרוקר אקסל OPTI-סכין-5X100,134,Expensive
3DMAX LARGE 10.8X16-RIGHT + טאקר נספג-12 סיכות-ETHICON,93,Cheap
3DMAX LARGE 10.8X16-RIGHT + טאקר נספג-12 סיכות-ETHICON,153,Expensive
3DMAX LARGE 10.8X16-LEFT + בלון דו צדדי PDBS2,9,Cheap
3DMAX LARGE 10.8X16-LEFT + בלון דו צדדי PDBS2,234,Expensive
3DMAX LARGE 10.8X16-RIGHT + בלון דו צדדי PDBS2,9,Cheap
3DMAX LARGE 10.8X16-RIGHT + בלון דו צדדי PDBS2,233,Expensive
