combination,frequency,average_price,surgeon_group
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT,328,909.58,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT,328,909.58,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT,265,912.95,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT,265,912.95,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק,106,1929.1,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק,106,1929.1,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק,106,1929.1,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק,33,1904.27,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק,33,1904.27,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק,33,1904.27,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,100,2006.38,Cheap
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,7,1977.42,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,7,1977.42,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,7,1977.42,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,7,1977.42,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,7,1977.42,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,7,1977.42,Expensive
3DMAX LARGE 10.8X16-LEFT + 3DMAX LARGE 10.8X16-RIGHT + LIQUIBAND FIX8 טאקר דבק + טרוקר אקסל ללא סכין 11 B11LT,7,1977.42,Expensive
